EPOCH 11 G_LOSS: tf.Tensor(3.3307104, shape=(), dtype=float32)
EPOCH 11 D_LOSS: tf.Tensor(1.2086004, shape=(), dtype=float32)
EPOCH 12 FID: tf.Tensor(362.25626, shape=(), dtype=float32)
EPOCH 12 G_LOSS: tf.Tensor(3.1507447, shape=(), dtype=float32)
EPOCH 12 D_LOSS: tf.Tensor(1.1810889, shape=(), dtype=float32)
EPOCH 13 FID: tf.Tensor(421.71713, shape=(), dtype=float32)
EPOCH 13 G_LOSS: tf.Tensor(3.0481403, shape=(), dtype=float32)
EPOCH 13 D_LOSS: tf.Tensor(1.133909, shape=(), dtype=float32)
EPOCH 14 FID: tf.Tensor(365.68997, shape=(), dtype=float32)
EPOCH 14 G_LOSS: tf.Tensor(2.961562, shape=(), dtype=float32)
EPOCH 14 D_LOSS: tf.Tensor(1.1310214, shape=(), dtype=float32)
EPOCH 0 FID: tf.Tensor(360.17557, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(3.1149082, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(1.1495403, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(417.64267, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(2.861903, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(1.157081, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(293.51938, shape=(), dtype=float32)
EPOCH 2 G_LOSS: tf.Tensor(2.2877462, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(1.2091309, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(364.68408, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(2.6376007, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(1.130189, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(347.77682, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(3.6971104, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(1.0788337, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(305.49713, shape=(), dtype=float32)
EPOCH 5 G_LOSS: tf.Tensor(4.4479847, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(0.98365545, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(308.90396, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(4.2215157, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(1.0410794, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(367.80566, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(3.183324, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(1.0407238, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(353.10034, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(3.694189, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(1.056888, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(413.3417, shape=(), dtype=float32)
EPOCH 9 G_LOSS: tf.Tensor(4.5995293, shape=(), dtype=float32)
EPOCH 9 D_LOSS: tf.Tensor(0.96639305, shape=(), dtype=float32)
EPOCH 10 FID: tf.Tensor(386.9603, shape=(), dtype=float32)
EPOCH 10 G_LOSS: tf.Tensor(5.4895635, shape=(), dtype=float32)
EPOCH 10 D_LOSS: tf.Tensor(0.9260679, shape=(), dtype=float32)
EPOCH 11 FID: tf.Tensor(344.99228, shape=(), dtype=float32)
EPOCH 11 G_LOSS: tf.Tensor(3.9453957, shape=(), dtype=float32)
EPOCH 11 D_LOSS: tf.Tensor(0.98891234, shape=(), dtype=float32)
EPOCH 12 FID: tf.Tensor(382.87442, shape=(), dtype=float32)
EPOCH 12 G_LOSS: tf.Tensor(4.0245605, shape=(), dtype=float32)
EPOCH 12 D_LOSS: tf.Tensor(0.9839999, shape=(), dtype=float32)
EPOCH 13 FID: tf.Tensor(413.69052, shape=(), dtype=float32)
EPOCH 13 G_LOSS: tf.Tensor(4.2971363, shape=(), dtype=float32)
EPOCH 13 D_LOSS: tf.Tensor(0.9230609, shape=(), dtype=float32)
EPOCH 14 FID: tf.Tensor(339.7584, shape=(), dtype=float32)
EPOCH 14 G_LOSS: tf.Tensor(5.927099, shape=(), dtype=float32)
